"","X","imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","movie_id.1","comput","campus","holiday","riot","terror","escap","wish","love","movie_id","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family"
"90",90,5.2,418,2002,19,2.35,"Color",20,12,7,0,0,0,418,0,0,0,0,0,0,0,0,418,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"91",91,6.3,420,2002,11,2.35,"Color",28,21,14,0,0,0,420,0,0,0,0,0,0,0,0,420,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"92",92,7.1,426,1998,11,1.85,"Color",12,15,14,0,0,0,426,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"93",93,6.2,429,2011,19,2.35,"Color",14,18,15,0,0,0,429,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"94",94,6.6,435,2004,8,1.85,"Color",6,23,10,0,0,0,435,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"95",95,7.3,439,2007,15,2.35,"Color",28,12,13,0,0,0,439,0,0,0,0,0,0,0,0,439,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"96",96,6.9,443,1999,16,1.85,"Color",14,10,13,0,0,0,443,0,0,0,0,0,0,0,1,443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"97",97,6.5,451,2000,18,1.85,"Color",6,21,14,0,0,0,451,0,0,0,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"98",98,7,454,2000,13,1.85,"Color",14,49,12,0,0,0,454,0,0,0,0,0,0,0,0,454,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"99",99,6.5,456,2005,16,2.35,"Black and White",23,18,13,0,0,0,456,0,0,0,0,0,0,0,0,456,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
